job_id,title,company,description,role_family,industry,employment_type,required_skills,preferred_skills,responsibilities,salary_min,salary_max,salary_currency,salary_period,country,city,region,work_mode,min_years_experience,max_years_experience,experience_level,required_work_authorization,application_deadline,is_active,source_uri
job-0000,Intern Data Scientist,Merlion Data,"Intern Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,technology,part-time,python|machine learning|statistics,sql|aws,Train models|Analyse data|Communicate findings,1500,1883,MYR,month,Malaysia,Kuala Lumpur,,remote,0,1,intern,,2026-04-15,true,synthetic://catalog/0000
job-0001,Entry Data Analyst,Penang Analytics,"Entry Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,healthcare,part-time,sql|excel,power bi|python,Build dashboards|Analyse business metrics|Prepare reports,3000,4459,MYR,month,Malaysia,Penang,,onsite,0,2,entry,,2025-12-01,false,synthetic://catalog/0001
job-0002,Mid Data Scientist,Straits Digital,"Mid Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,technology,contract,python|machine learning|statistics,aws|sql,Train models|Analyse data|Communicate findings,7000,11080,MYR,month,Malaysia,Johor Bahru,,remote,3,6,mid,,2026-01-22,true,synthetic://catalog/0002
job-0003,Mid Data Scientist,Batik Cloud,"Mid Data Scientist at a growing team. Responsibilities: Train models, Analyse data, Communicate findings.",data scientist,retail,part-time,python|machine learning|statistics,sql,Train models|Analyse data|Communicate findings,,,,,Singapore,Singapore,,onsite,3,6,mid,SG,2026-03-22,true,synthetic://catalog/0003
job-0004,Entry Data Analyst,Straits Digital,"Entry Data Analyst at a growing team. Responsibilities: Build dashboards, Analyse business metrics, Prepare reports.",data analyst,retail,contract,sql|excel,tableau|power bi|python,Build dashboards|Analyse business metrics|Prepare reports,,,,,Malaysia,Johor Bahru,,onsite,0,2,entry,,,true,synthetic://catalog/0004
job-0005,Entry Product Analyst,Hibiscus Labs,"Entry Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,healthcare,contract,sql|statistics,tableau,Analyse product funnels|Run experiments|Report KPIs,3000,3805,MYR,month,Malaysia,Johor Bahru,,onsite,0,2,entry,,2025-12-17,false,synthetic://catalog/0005
job-0006,Intern Sales Analyst,Penang Analytics,"Intern Sales Analyst at a growing team. Responsibilities: Analyse sales pipeline, Forecast revenue, Support sales team.",sales analyst,retail,full-time,excel|sql,communication|power bi,Analyse sales pipeline|Forecast revenue|Support sales team,1500,,MYR,month,Malaysia,Penang,,onsite,0,1,intern,,2026-01-19,true,synthetic://catalog/0006
job-0007,Junior Business Analyst,Batik Cloud,"Junior Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,healthcare,part-time,excel|communication,power bi|sql,Gather requirements|Model processes|Support stakeholders,4000,,MYR,month,Malaysia,Penang,,hybrid,1,3,junior,,2026-04-16,true,synthetic://catalog/0007
job-0008,Senior Business Analyst,KualaSoft,"Senior Business Analyst at a growing team. Responsibilities: Gather requirements, Model processes, Support stakeholders.",business analyst,finance,part-time,excel|communication,sql|power bi,Gather requirements|Model processes|Support stakeholders,12000,,MYR,month,Malaysia,Cyberjaya,,onsite,6,10,senior,,,true,synthetic://catalog/0008
job-0009,Senior Software Engineer,Acme Data,"Senior Software Engineer at a growing team. Responsibilities: Develop services, Write tests, Review code.",software engineer,technology,part-time,python|sql,aws|javascript|docker,Develop services|Write tests|Review code,,,,,Malaysia,Cyberjaya,,remote,6,10,senior,,,true,synthetic://catalog/0009
job-0010,Mid Product Analyst,KualaSoft,"Mid Product Analyst at a growing team. Responsibilities: Analyse product funnels, Run experiments, Report KPIs.",product analyst,technology,part-time,sql|statistics,python|tableau,Analyse product funnels|Run experiments|Report KPIs,7000,10421,MYR,month,Malaysia,Penang,,unspecified,3,6,mid,,2025-11-25,false,synthetic://catalog/0010
