scenario_id,job_id,oracle_grade,rater_1,rater_2,adjudicated,gold,gold_source,delta_human_minus_oracle,notes
SC-A-01,job-0012,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=True, mode=True, experience=under."
SC-A-01,job-0088,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=False, experience=fit."
SC-A-01,job-0095,3,3,3,,3,rater_concordant,0,
SC-A-01,job-0128,3,2,2,,2,rater_concordant,-1,
SC-A-01,job-0136,3,0,0,,0,rater_concordant,-3,
SC-A-01,job-0187,3,2,3,3,3,adjudicated,0,"Adjudicated 3: strict rater=2, holistic rater=3; role=1.00; required-skill-fit=0.50; soft-fit/location=False, mode=None, experience=fit."
SC-A-01,job-0196,3,0,0,,0,rater_concordant,-3,
SC-A-02,job-0012,3,2,2,,2,rater_concordant,-1,
SC-A-02,job-0046,3,0,0,,0,rater_concordant,-3,
SC-A-02,job-0088,3,2,3,2,2,adjudicated,-1,"Adjudicated 2: strict rater=2, holistic rater=3; role=0.55; required-skill-fit=1.00; soft-fit/location=False, mode=None, experience=fit."
SC-A-02,job-0128,3,2,2,,2,rater_concordant,-1,
SC-A-02,job-0136,3,0,0,,0,rater_concordant,-3,
SC-A-02,job-0172,0,0,0,,0,rater_concordant,0,
SC-A-02,job-0175,0,0,0,,0,rater_concordant,0,
SC-A-02,job-0196,3,0,0,,0,rater_concordant,-3,
SC-A-03,job-0014,0,0,0,,0,rater_concordant,0,
SC-A-03,job-0031,3,3,3,,3,rater_concordant,0,
SC-A-03,job-0053,3,3,3,,3,rater_concordant,0,
SC-A-03,job-0088,3,3,3,,3,rater_concordant,0,
SC-A-03,job-0124,0,0,0,,0,rater_concordant,0,
SC-A-03,job-0128,3,3,3,,3,rater_concordant,0,
SC-A-03,job-0157,0,0,0,,0,rater_concordant,0,
