experiment,experiment_id,run_id,scenario_id,variant,run_index,claim_id,claim_type,claim_text,auto_support_status,evidence_count,evidence
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-00f3e2800d2e6a11,ranking_reason,Matches your target role (data analyst).,supported,4,"profile:target_roles=Data Analyst (confirmed, conf 0.95) | dialogue:target_roles=Data Analyst (confirmed, conf 0.98) | job_posting:role_family=data analyst (confirmed, conf 1.0) | job_posting:title=Junior Data Analyst (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-0bac7e0b982e6eec,ranking_reason,"Work mode is remote, matching your preference.",supported,2,"dialogue:work_modes=remote (confirmed, conf 0.95) | job_posting:work_mode=remote (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-147656ceb777bb2f,skill_gap,"Gap: the role requires excel, which is not in your listed skills.",supported,1,"job_posting:required_skills=['sql', 'excel'] (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-15ec35b6385e963c,skill_gap,"Gap: the role requires excel, which is not in your listed skills.",supported,1,"job_posting:required_skills=['sql', 'excel'] (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-1b17aec49269f1a9,ranking_reason,"Work mode is remote, matching your preference.",supported,2,"dialogue:work_modes=remote (confirmed, conf 0.95) | job_posting:work_mode=remote (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-61316786f16fd635,ranking_reason,Covers preferred skills (1/1).,supported,3,"profile:skills=Python (confirmed, conf 0.95) | profile:skills=SQL (confirmed, conf 0.95) | job_posting:preferred_skills=['python'] (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-637e6173022e54dd,ranking_reason,Your experience fits the role's range.,supported,3,"profile:years_experience=2.0 (confirmed, conf 0.95) | job_posting:min_years_experience=1.0 (confirmed, conf 1.0) | job_posting:max_years_experience=3.0 (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-63f3cbce8d3215af,skill_gap,"Gap: the role requires excel, which is not in your listed skills.",supported,1,"job_posting:required_skills=['sql', 'excel'] (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-66ad6b2faf9acd8a,ranking_reason,Matches your target role (data analyst).,supported,4,"profile:target_roles=Data Analyst (confirmed, conf 0.95) | dialogue:target_roles=Data Analyst (confirmed, conf 0.98) | job_posting:role_family=data analyst (confirmed, conf 1.0) | job_posting:title=Entry Data Analyst (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-6835dd660940a973,ranking_reason,Covers preferred skills (1/1).,supported,3,"profile:skills=Python (confirmed, conf 0.95) | profile:skills=SQL (confirmed, conf 0.95) | job_posting:preferred_skills=['python'] (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-85ca4aff0fb5ddf5,skill_gap,"Gap: the role requires excel, which is not in your listed skills.",supported,1,"job_posting:required_skills=['sql', 'excel'] (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-9515f274401a51ce,ranking_reason,Your experience fits the role's range.,supported,3,"profile:years_experience=2.0 (confirmed, conf 0.95) | job_posting:min_years_experience=1.0 (confirmed, conf 1.0) | job_posting:max_years_experience=3.0 (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-9f8d9232572742d7,ranking_reason,Matches your target role (data analyst).,supported,4,"profile:target_roles=Data Analyst (confirmed, conf 0.95) | dialogue:target_roles=Data Analyst (confirmed, conf 0.98) | job_posting:role_family=data analyst (confirmed, conf 1.0) | job_posting:title=Junior Data Analyst (confirmed, conf 1.0)"
hybrid,exp-6db1e87daed5,run-0001883d9bd6c917,SC-F-03,no_memory,1,claim-b576bdaa57856f92,ranking_reason,Covers preferred skills (1/1).,supported,3,"profile:skills=Python (confirmed, conf 0.95) | profile:skills=SQL (confirmed, conf 0.95) | job_posting:preferred_skills=['python'] (confirmed, conf 1.0)"
