item_key,kind,final_label_YOUR_VERDICT,reason,rater_1_said,rater_2_said,valid_labels,scenario_id,job_id,claim_text,predicate,field,expected_value,observed_value,delivery_status,has_unresolvable_evidence,evidence,referenced_jobs,candidate_profile,conversation,job_summary
clm::sig-62846f9004f7c890,claim,0,,0,1,0/1,SC-D-03,,"You indicated preferred locations: ['Penang', 'Kuala Lumpur']",candidate_preference,preferred_locations,"[""Penang"", ""Kuala Lumpur""]",,delivered,no,"[1] source=profile object=SC-D-03-cand field=preferred_locations value=Kuala Lumpur | raw: 
[2] source=dialogue object=sess-3e6b9f5516083bda field=preferred_locations value=Penang | raw: penang
[3] source=dialogue object=sess-3e6b9f5516083bda field=preferred_locations value=Kuala Lumpur | raw: kuala lumpur
[4] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Penang | raw: penang
[5] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Kuala Lumpur | raw: kuala lumpur",,"{""candidate_id"": ""SC-D-03-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL""], ""target_roles"": [""Data Analyst""], ""years_experience"": 2}","turn 0: Data analyst in Penang, at least RM4000.
turn 1: Change that to Kuala Lumpur instead.",
clm::sig-b1c4374501097413,claim,0,,0,1,0/1,SC-D-03,job-0031,"Located in Penang, matching your preference.",ranking_match,preferred_locations,"[""Penang"", ""Kuala Lumpur""]",Penang,delivered,no,"[1] source=profile object=SC-D-03-cand field=preferred_locations value=Kuala Lumpur | raw: 
[2] source=dialogue object=sess-3e6b9f5516083bda field=preferred_locations value=Penang | raw: penang
[3] source=dialogue object=sess-3e6b9f5516083bda field=preferred_locations value=Kuala Lumpur | raw: kuala lumpur
[4] source=job_posting object=job-0031 field=city value=Penang | raw: 
[5] source=job_posting object=job-0031 field=country value=Malaysia | raw: 
[6] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Penang | raw: penang
[7] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Kuala Lumpur | raw: kuala lumpur","job-0031: Junior Data Analyst @ Orchid AI | {""city"": ""Penang"", ""country"": ""Malaysia"", ""region"": null} | work_mode=remote | salary={""currency"": ""MYR"", ""max"": 5754.0, ""min"": 4000.0, ""period"": ""month""} | required=[""sql"", ""excel""] | preferred=[""power bi"", ""tableau"", ""python""] | min_years=1.0 | level=junior | active=True","{""candidate_id"": ""SC-D-03-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL""], ""target_roles"": [""Data Analyst""], ""years_experience"": 2}","turn 0: Data analyst in Penang, at least RM4000.
turn 1: Change that to Kuala Lumpur instead.",
clm::sig-c24866ecf0bb12ea,claim,0,,0,1,0/1,SC-D-03,job-0053,"Located in Penang, matching your preference.",ranking_match,preferred_locations,"[""Penang"", ""Kuala Lumpur""]",Penang,delivered,no,"[1] source=profile object=SC-D-03-cand field=preferred_locations value=Kuala Lumpur | raw: 
[2] source=dialogue object=sess-3e6b9f5516083bda field=preferred_locations value=Penang | raw: penang
[3] source=dialogue object=sess-3e6b9f5516083bda field=preferred_locations value=Kuala Lumpur | raw: kuala lumpur
[4] source=job_posting object=job-0053 field=city value=Penang | raw: 
[5] source=job_posting object=job-0053 field=country value=Malaysia | raw: 
[6] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Penang | raw: penang
[7] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Kuala Lumpur | raw: kuala lumpur","job-0053: Junior Data Analyst @ Hibiscus Labs | {""city"": ""Penang"", ""country"": ""Malaysia"", ""region"": null} | work_mode=unspecified | salary={""currency"": ""MYR"", ""max"": 5289.0, ""min"": 4000.0, ""period"": ""month""} | required=[""sql"", ""excel""] | preferred=[""python"", ""tableau"", ""power bi""] | min_years=1.0 | level=junior | active=True","{""candidate_id"": ""SC-D-03-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL""], ""target_roles"": [""Data Analyst""], ""years_experience"": 2}","turn 0: Data analyst in Penang, at least RM4000.
turn 1: Change that to Kuala Lumpur instead.",
clm::sig-b9e0efbc6667c833,claim,0,,0,1,0/1,SC-D-03,job-0083,"Located in Penang, matching your preference.",ranking_match,preferred_locations,"[""Penang"", ""Kuala Lumpur""]",Penang,delivered,no,"[1] source=profile object=SC-D-03-cand field=preferred_locations value=Kuala Lumpur | raw: 
[2] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Penang | raw: penang
[3] source=dialogue object=sess-1c93c4ec08c799c9 field=preferred_locations value=Kuala Lumpur | raw: kuala lumpur
[4] source=job_posting object=job-0083 field=city value=Penang | raw: 
[5] source=job_posting object=job-0083 field=country value=Malaysia | raw: ","job-0083: Entry Data Analyst @ Nusantara Tech | {""city"": ""Penang"", ""country"": ""Malaysia"", ""region"": null} | work_mode=unspecified | salary={""currency"": null, ""max"": null, ""min"": null, ""period"": ""unknown""} | required=[""sql"", ""excel""] | preferred=[""python"", ""power bi""] | min_years=0.0 | level=entry | active=False","{""candidate_id"": ""SC-D-03-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL""], ""target_roles"": [""Data Analyst""], ""years_experience"": 2}","turn 0: Data analyst in Penang, at least RM4000.
turn 1: Change that to Kuala Lumpur instead.",
rel::SC-A-02::job-0101,relevance,2,,1,2,0/1/2/3,SC-A-02,job-0101,,,,,,,,,,"{""candidate_id"": ""SC-A-02-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL"", ""Excel""], ""target_roles"": [""Business Analyst""], ""years_experience"": 2}","turn 0: Looking for a business analyst role in Kuala Lumpur, at least RM4000.","Junior Business Analyst @ Nusantara Tech | {""city"": ""Johor Bahru"", ""country"": ""Malaysia"", ""region"": null} | work_mode=remote | salary={""currency"": ""MYR"", ""max"": null, ""min"": 4000.0, ""period"": ""month""} | required=[""excel"", ""communication""] | min_years=1.0 | level=junior"
rel::SC-A-02::job-0142,relevance,1,,2,1,0/1/2/3,SC-A-02,job-0142,,,,,,,,,,"{""candidate_id"": ""SC-A-02-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL"", ""Excel""], ""target_roles"": [""Business Analyst""], ""years_experience"": 2}","turn 0: Looking for a business analyst role in Kuala Lumpur, at least RM4000.","Junior Business Analyst @ Batik Cloud | {""city"": ""Singapore"", ""country"": ""Singapore"", ""region"": null} | work_mode=onsite | salary={""currency"": ""SGD"", ""max"": 4562.0, ""min"": 3600.0, ""period"": ""month""} | required=[""excel"", ""communication""] | min_years=1.0 | level=junior"
rel::SC-B-04::job-0095,relevance,0,,0,1,0/1/2/3,SC-B-04,job-0095,,,,,,,,,,"{""candidate_id"": ""SC-B-04-cand"", ""skills"": [""Python""], ""years_experience"": 3}","turn 0: Something hybrid, at least RM4000, in Kuala Lumpur please.","Intern Data Analyst @ Straits Digital | {""city"": ""Singapore"", ""country"": ""Singapore"", ""region"": null} | work_mode=hybrid | salary={""currency"": ""SGD"", ""max"": 2099.0, ""min"": 1350.0, ""period"": ""month""} | required=[""sql"", ""excel""] | min_years=0.0 | level=intern"
rel::SC-C-02::job-0095,relevance,0,,1,0,0/1/2/3,SC-C-02,job-0095,,,,,,,,,,"{""candidate_id"": ""SC-C-02-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL""], ""target_roles"": [""Business Analyst""], ""work_modes"": [""onsite""], ""years_experience"": 2}",turn 0: Actually hybrid is also fine now; business analyst in Kuala Lumpur at least RM4000.,"Intern Data Analyst @ Straits Digital | {""city"": ""Singapore"", ""country"": ""Singapore"", ""region"": null} | work_mode=hybrid | salary={""currency"": ""SGD"", ""max"": 2099.0, ""min"": 1350.0, ""period"": ""month""} | required=[""sql"", ""excel""] | min_years=0.0 | level=intern"
rel::SC-D-02::job-0095,relevance,0,,0,1,0/1/2/3,SC-D-02,job-0095,,,,,,,,,,"{""candidate_id"": ""SC-D-02-cand"", ""preferred_locations"": [""Penang""], ""skills"": [""Python"", ""SQL""], ""target_roles"": [""Business Analyst""], ""years_experience"": 2}","turn 0: Business analyst in Penang, onsite only.
turn 1: Hybrid is fine too, at least RM4000.","Intern Data Analyst @ Straits Digital | {""city"": ""Singapore"", ""country"": ""Singapore"", ""region"": null} | work_mode=hybrid | salary={""currency"": ""SGD"", ""max"": 2099.0, ""min"": 1350.0, ""period"": ""month""} | required=[""sql"", ""excel""] | min_years=0.0 | level=intern"
rel::SC-D-07::job-0101,relevance,2,,2,1,0/1/2/3,SC-D-07,job-0101,,,,,,,,,,"{""candidate_id"": ""SC-D-07-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL"", ""Excel""], ""years_experience"": 2}","turn 0: I'd like business analyst positions.
turn 1: In Kuala Lumpur, at least RM4000 please.","Junior Business Analyst @ Nusantara Tech | {""city"": ""Johor Bahru"", ""country"": ""Malaysia"", ""region"": null} | work_mode=remote | salary={""currency"": ""MYR"", ""max"": null, ""min"": 4000.0, ""period"": ""month""} | required=[""excel"", ""communication""] | min_years=1.0 | level=junior"
rel::SC-D-07::job-0142,relevance,1,,1,2,0/1/2/3,SC-D-07,job-0142,,,,,,,,,,"{""candidate_id"": ""SC-D-07-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL"", ""Excel""], ""years_experience"": 2}","turn 0: I'd like business analyst positions.
turn 1: In Kuala Lumpur, at least RM4000 please.","Junior Business Analyst @ Batik Cloud | {""city"": ""Singapore"", ""country"": ""Singapore"", ""region"": null} | work_mode=onsite | salary={""currency"": ""SGD"", ""max"": 4562.0, ""min"": 3600.0, ""period"": ""month""} | required=[""excel"", ""communication""] | min_years=1.0 | level=junior"
rel::SC-D-11::job-0187,relevance,0,,1,0,0/1/2/3,SC-D-11,job-0187,,,,,,,,,,"{""candidate_id"": ""SC-D-11-cand"", ""preferred_locations"": [""Kuala Lumpur""], ""skills"": [""Python"", ""SQL""], ""years_experience"": 2}","turn 0: Data analyst is what I'm after.
turn 1: Prefer hybrid.
turn 2: At least RM4000 in Kuala Lumpur.","Intern Data Analyst @ Straits Digital | {""city"": ""Singapore"", ""country"": ""Singapore"", ""region"": null} | work_mode=unspecified | salary={""currency"": ""SGD"", ""max"": 1905.0, ""min"": 1350.0, ""period"": ""month""} | required=[""sql"", ""excel""] | min_years=0.0 | level=intern"
