experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,candidate_state_version,termination_reason,total_latency_ms,run_dir
full,SC-A-01,0,run-f76ddd87a0274c45,True,recommendation,False,5,30,28,0,1,1,1,recommendation,36630.491,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-01\0
full,SC-A-01,1,run-3b16805011f27320,True,recommendation,False,5,30,28,0,1,1,1,recommendation,43832.793,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-01\1
full,SC-A-01,2,run-7c22bffc2124024d,True,recommendation,False,5,30,28,0,1,1,1,recommendation,46788.96,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-01\2
full,SC-A-02,0,run-b3f1bd23725ffc77,True,recommendation,False,5,29,22,0,1,1,1,recommendation,7860.592,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-02\0
full,SC-A-02,1,run-58d21685679e76d2,True,recommendation,False,5,29,22,0,1,1,1,recommendation,9102.783,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-02\1
full,SC-A-02,2,run-73e95d32aa079ffc,True,recommendation,False,5,29,22,0,1,1,1,recommendation,9163.836,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-02\2
full,SC-A-03,0,run-5cf086fd7c8c196b,True,recommendation,False,5,30,28,0,1,1,1,recommendation,9993.569,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-03\0
full,SC-A-03,1,run-470b267247dc9052,True,recommendation,False,2,2,13,0,1,1,1,recommendation,11625.329,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-03\1
full,SC-A-03,2,run-c47ebd3f119b3ac4,True,recommendation,False,5,30,28,0,1,1,1,recommendation,9309.4,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-03\2
full,SC-A-04,0,run-36fdb7246a3b9dd3,True,no_match,True,0,0,4,0,1,1,1,no_match,40004.91,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-04\0
full,SC-A-04,1,run-9132ef3a21f60e3e,True,recommendation,False,5,29,24,0,1,1,1,recommendation,9875.897,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-04\1
full,SC-A-04,2,run-035e0b5f34900e31,True,no_match,True,0,0,4,0,1,1,1,no_match,13545.19,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-04\2
full,SC-A-05,0,run-b69a70a89ab60921,True,recommendation,False,5,29,23,0,1,1,1,recommendation,48007.793,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-05\0
full,SC-A-05,1,run-e3025a64b6e77f38,True,recommendation,False,5,29,23,0,1,1,1,recommendation,41158.832,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-05\1
full,SC-A-05,2,run-8ea2bf65fc588347,True,recommendation,False,5,29,23,0,1,1,1,recommendation,51085.416,evaluation\outputs_hybrid\_runs\exp-6db1e87daed5\full\SC-A-05\2
