run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,evidence_resolution_rate,abstention_rate,unsupported_delivered_count,semantic_validator_present,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-5666f4cf16ada7ef,SC-A-01,full,0,complete,easy,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.5,14,1.0,0.0,0,True,1.0,1.0,1,23529.273,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-b092f115d5e62166,SC-A-01,full,1,complete,easy,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.5,14,1.0,0.0,0,True,1.0,1.0,1,52385.152,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-b2e669dbbe4fc670,SC-A-01,full,2,complete,easy,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.5,14,1.0,0.0,0,True,1.0,1.0,1,17288.906,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-0cf7e0daf535a696,SC-A-02,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.4782608695652174,11,1.0,0.0,0,True,1.0,1.0,1,18735.956,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-7d86c321e8400460,SC-A-02,full,1,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.4782608695652174,11,1.0,0.0,0,True,1.0,1.0,1,15656.213,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-8edfe902496d790d,SC-A-02,full,2,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.4782608695652174,11,1.0,0.0,0,True,1.0,1.0,1,15838.29,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-f1c7a1720441050f,SC-A-03,full,0,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,8,1.0,0.0,0,True,1.0,1.0,1,19475.391,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-6ea4b87277a7d89d,SC-A-03,full,1,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,8,1.0,0.0,0,True,1.0,1.0,1,16732.974,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-2ca84da882aaf57d,SC-A-03,full,2,complete,easy,none,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.2857142857142857,8,1.0,0.0,0,True,1.0,1.0,1,17234.203,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-326bfbb0f8ea7d96,SC-A-04,full,0,complete,medium,none,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.4583333333333333,11,1.0,0.0,0,True,1.0,1.0,1,25335.778,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
